Szerző:,Cím:,Abstract:,Kezwords-Szerző:,Keywords-GPT:,Évfolyam:
"Jakab Etele","Stock price prediction and visualization","Abstract
One of the most studied sectors of economics and financial analysis is stock trading,
where participants buy and sell shares on the stock exchange or other financial markets.
It can be said that this is the most dynamic area for investors in capitalist countries,
which has numerous advantages but also carries several critical risks.
The biggest advantage of this industry is that investors can quickly gain substantial
profits from the rise of stock prices or periodic dividend payments. However, due to price
volatility, one must also consider the possibility of losses resulting from sudden drops in
stock prices. Investors need proper knowledge and experience to trade successfully and
minimize risks.
The fluctuation of stock prices depends on various factors such as the economic
environment, political situation, market trends, and corporate performance. Examining
and analyzing these factors is a highly complex process, given that stock price changes
are triggered by intricate impulses rooted in high levels of abstraction.
The thesis consists of two main chapters. The first chapter focuses on a desktop ap-
plication built with Python and Tkinter, presenting its structure, operational principles,
and already implemented functionalities. The second chapter introduces two indepen-
dently developed and separate prediction systems, as well as a third approach resulting
from their combination. The first system is based on deep learning neural networks, while
the second operates using classification algorithms in the approach of news analysis.
The aim during the development of the desktop application was to enable it to work
with data from nearly a hundred publicly traded companies, automatically update them,
process them using multiple analytical methods, and present the results to the user using
visualization tools. From a program design perspective, I followed the modern principle
of allowing for easy expansion and post-development modifications of the application.
The research section aimed to develop a method capable of providing highly accurate
predictions regarding market changes based on past market data and news feeds. These
methods were tested, results were documented, compared with each other, and essential
conclusions were drawn.
The social goal of the research is to facilitate safer stock market investments and
protect people’s savings, particularly during a period when economic prospects are rather
turbulent. In 2022, the average annual inflation in the European Union was 10.4%, in
Hungary 24.5%, in Romania 14.1%, while in the Eurozone it reached 9.2%. In contrast,
the average annual deposit interest rates in Hungary were 6.1%, and in Romania, they
reached 7.2%.","","Stock trading, Investment risks, Economic factors, Prediction systems, Financial markets, ","2023"
"Veres Napsugar Anna","SimultanQ - the Design and Development of an Interactive Quiz Game","Abstract
The topic of my thesis is to implement an interactive quiz game without restricting
the number of participating players using a web application.
Quiz games are extremely popular nowadays and offer numerous advantages. People
enjoy challenges, especially when presented in a playful form. Live quiz games provide an
exciting and interactive experience as they allow players to compete with each other and
test their knowledge. The multiplayer mode facilitates all of this.
The fact that players participate simultaneously in the quiz game and there is the
possibility of real-time tracking of results makes the game even more thrilling and can
have a community-building impact.
The name of my application is ""SimultanQ,"" which aims to represent this concept.
""Simultan"" refers to shared, simultaneous activities, while the suffix ""Q"" stands for ""Quiz.""
Analyzing existing online and freely accessible similar applications reveals that the
number of participants is limited during the game. Within the scope of this project, a
web application has been developed without such restrictions. Users can easily register,
create quizzes after logging in, and start the game in a straightforward manner. They
can enable players to join the quiz by sharing a PIN code, and the players can access the
questions based on this information.
The application contributes to the realization of beloved challenges, the implemen-
tation of engaging games in various topics for different groups, testing knowledge, and
the competitive approach can provide a genuine team-building experience.","quizgame, interactive, challenges","Interactive quiz game, Web application, Multiplayer mode, Real-time tracking, SimultanQ, ","2023"
"Nagy Marton Hunor","Game to develop programming skills","Abstract
In today’s world, IT and programming skills are increasingly important because the
machines around us are now controlled by a kind of software, a kind of software for
communicating, navigating, editing, storing and sharing documents. playing multimedia
content, games, etc. These software programs are used by humans and as more and
more software developers are needed, it is important that as many people as possible
to learn the basics of programming. The aim of my project is to create a to create a
specially designed game that allows players to easily develop logical thinking and problem
solving skills needed for programming, and learn the basic operations and processes of
programming. In this thesis, I attempt to answer the question of how best and most
easiest and most effective way to involve beginners in this world of gamification. Another
goal of the project is to provide the most advanced more advanced programmers to enjoy
and challenge the app. Topics implemented In the implemented app, the player can learn
about process sequencing and function calls, and the sequence of functions, the structure
and operation of loops, as well as the condi- and conditionality. An important part of
the game is its simplicity and minimalism, so that it is easy to play easy to play. In this
paper, I will present some important game development theories that contribute to help
create a successful game. I will also discuss different approaches to game development
technologies that can be used for game development and platforms that can be used to
platforms for which games can be developed.","","programming skills, game development, logical thinking, problem solving, gamification","2023"
"Fuzi Zalan","Cryptorithm","Abstract
Cryptorithm is an online platform where users can try out cryptographic systems
and provides an extensive knowledge base to learn the origin, operation and use of these
systems.
The software offers a selection of popular encryption, decryption and data transfor-
mation methods, allowing users to freely choose and try these methods. It also has a
learning interface to help users gain a deeper understanding of cryptographic systems.
Users can read and learn about these systems through practical examples.
We have paid special attention to ensuring user experience, so the software has a
user-friendly interface. It was also important to made the site multilingual, i.e. accessible
to both English and Hungarian users.
In the rest of my thesis I will describe in detail the architecture of the software, the
implemented features and the related knowledge. The user documentation is also part of
the thesis.","","Cryptographic systems, Encryption, Decryption, User-friendly interface, Learning interface, ","2023"
"Sallai Jozsef Adrian","Creation and Property Sales Through the Web","Abstract
The aim of my thesis is to design and develop a web application that can be used
to create, ﬁll out, and ﬁnalize sales contracts easily and conveniently over the Internet.
My goal was to make the application easy to use and accessible from anywhere, and to
provide a user experience that balances comfort and functionality.
Throughout the years, it has become evident that the services oﬀered by the online
world play an increasingly important role in our everyday lives. Nowadays many of our
activities, whether it is shopping, entertainment, or even work, are done over the Internet,
from the comfort of our homes.
One of the most important branches of online services is public administration. If
we allow citizens to handle these matters through the Internet, we can signiﬁcantly ease
their burden. With an online state system, there is no need for citizens to be present at a
speciﬁc time, nor to stand in long queues just to ﬁll out, sign, and submit a few papers.
Inthisthesis,Idevelopedasoftwareforoneoftheusecasesmentionedabove,namely
salescontracts.Itriedtoﬁndanswerstothefollowingquestions:whattechnologiesshould
be used to make it easy to develop such an application, and what design frameworks and
practices can be used to maximize the user experience. I also tried to ﬁnd out how modern
web standards, such as WebSockets, can be useful in such an application. I present the
technologies used during development, the design and implementation process of the
end-user part of the software, and the various use cases that the software must support.
Finally, I summarize the experiences gained during development and testing, and
present the possibilities for further development.","web application, sales contract, user experience","Web application, Sales contracts, User experience, Online services, Internet, ","2023"
"Balint Lehel","Data Delivery: Streamlining Grade Management for University Students","Abstract
The statistical data plays an extremely important role in our modern, developing
world, including in education, as it helps understand and analyze the performance of
students, teachers, and educational systems. The topic of my paper is the implementation
of an online log system for university students, named ""Data Delivery."" This system
providesstudentswiththeopportunitytotracktheirprogress,performanalyses,interpret
statistics, and view their own grades as well as those of their peers.
The ""Data Delivery"" application is exclusively available on Android systems, as it
wasdevelopedusingAndroid-Kotlintechnologywithstudentusersasthetargetaudience.
The mobile application communicates with a Strapi.io API to access and manage the
data. Additionally, a web application has been developed using .NET Core technology to
facilitate easy grade management, exclusively for teacher users.
The completed application can be highly useful for university students in tracking
their academic performance and analyzing their progress. This allows them to evaluate
their own performance and develop personalized learning strategies more effectively. The
application boasts a user-friendly interface and offers a wide range of functionality for
students.
In my paper, I aim to present in detail the steps involved in designing the application
and explain its operating principles. Furthermore, I will describe the technologies used,
the implemented features, and discuss potential future development opportunities.","Keyword: study results, statistics, e-diary","Statistical data , Online log system , Data Delivery , Android Kotlin technology , Academic performance, ","2023"
"Lazar Zsolt","SortRace: Vizualization of sorting algorithms","Abstract
The topic of my thesis is the study of sorting algorithms and an interactive solution
for teaching them.
Interactiveteachingplaysanincreasinglyimportantrolethesedays.Inourfast-paced
world, it is becoming more and more difficult to hold the attention of students, therefore
pedagogical methodologies are needed that help the teacher to attract and retain the
attention of students.
In informatics, since it is a real subject that teaches logical thinking, there are many
practical tasks. Among these, one of the basic informatics course materials is the sorting
algorithms of number sequences.
SortRace, a software developed by me, is a website where students can better un-
derstand sorting algorithms and can also compare their knowledge within the framework
of a speed game.
During the thesis, I will present the structure of this software and the basic operating
principles of the technologies used.","","Sorting algorithms, Interactive teaching, Pedagogical methodologies, Informatics, SortRace, ","2023"
"Bakos Csongor Attila","SapiMITevents: Documenting the events of the department","Abstract
This bachelor’s thesis presents the development of an event management system
tailored for the Department of Mathematics-Informatics at Sapientia Hungarian Univer-
sity of Transylvania. The system aims to enhance coordination and engagement among
university members, particularly teachers and staff. The website provides administrators
with the ability to add, update, and remove events, while teachers can register themselves
as attendees and track their participation history. The system centralizes event details,
including event type, location, date, expected number of attendees, and comprehensive
descriptions.Bystreamliningeventorganizationandimprovingcommunication,theevent
management system contributes to a more cohesive and engaged academic community
within the department.
The event management system serves as a centralized platform for administrators
to efficiently manage departmental events. They can easily add new events, update
event information, and remove past events, providing a comprehensive overview of
the department’s activities. Teachers benefit from the system by having access to a
personalized dashboard where they can view upcoming events, track their attendance
history, and manage their participation in various activities. This centralized approach
to event management fills the gap that previously existed, allowing teachers to easily
track the number and types of events they have participated in.","event management system, engagement, university, informatics, teacher at-tendance.","Event management system, Department of Mathematics Informatics, University members, Event coordination, Academic community, ","2023"
"Vrencian Lilla","Dockerization and development of eTickets application in .NET","Abstract
The topic of my thesis is the development and dockerization of the ""eTickets"" web
application in .NET programming language, which allows users to buy tickets online for
movies in different cinemas. Online shopping has been growing in popularity in recent
years and has become a common practice in many companies. There are several reasons
why it was introduced:
Convenience: Online shopping allows customers to access the Internet from home,
work or anywhere and easily purchase the products or services they want. They do not
need to be in person at traditional stores or make an appointment.
Wide selection: In the online space, customers have access to a huge selection of
products and services from many parts of the world. They are not limited to the inventory
of local stores and can easily compare prices, brands and quality from the comfort of their
own home.
Time saving: Online shopping is fast and efficient. Customers don’t have to go
through multiple stores or stand in line to pay. They can simply buy and pay for a
product or service with a few clicks.
Because of these advantages, many companies decide to introduce or expand online
shopping to reach and serve a wide range of online shoppers.","online, shopping, convenience.","eTickets, Dockerization, Online shopping, .NET programming language, Convenience, ","2023"
"Stoica Attila","Visualizer for dynamic programming algorithms","Abstract
The topic of my paper is visualizing the algorithm of dynamic programming through
an easily applicable interface. Dynamic programming is an efficient and creative method
for problem-solving. Its foundation lies in storing and reusing optimal solutions. It’s a bit
like a memory game, where by leveraging previous steps, you can more easily find the
solution. This saves time and resources. It is used in optimization, computer graphics,
and artificial intelligence.
The clear presentation of dynamic programming is extremely important for students.
Imagine inviting them on an exciting adventure into the world of problem-solving. Show
them how they can break down complex tasks into simpler subproblems, and by solving
these, they can eventually reach the complete solution. Enrich the lesson with examples
and practical applications, allowing them to see how dynamic programming can assist
them in various areas of life, such as data analysis or video game development. By incor-
poratinguniqueinteractiveexercisesandcreativeapproaches,youpiquestudents’interest
and encourage critical thinking and problem-solving skills. This fosters the development
of their creativity, logical thinking, and ability to work in teams.
The goal of my paper is to present dynamic programming as comprehensively and
uniquely as possible, thereby capturing students’ attention and laying the foundation for
their future IT skills. I aimed to achieve this through a website, primarily because it is
easily accessible and applicable to anyone.
Furthermore, it was crucial for the visualization to be carried out through tasks
that perfectly reflect the fundamental properties of the algorithm, such as dividing prob-
lems into subproblems and memoization. Additionally, I strived to create a user-friendly
interface where the visualization speed can also be adjusted.","","Dynamic programming, Visualization, Problem solving, Memory game, Interactive exercises, ","2023"
"Kiss Krisztina Gyongyver","TastyGo: Application for a restaurant with delivery","Abstract
The restaurant industry and online ordering options have seen rapid growth in recent
years, creating a growing demand for convenient and easy food delivery. People want to
bring the restaurant experience to their homes without sacrificing comfort and relaxation.
In this digital age, restaurants need to keep up with consumer demands and find ways to
serve customers in the online space. This is where a restaurant delivery app comes into
play, allowing for easy and fast food ordering and delivery.
The goal is to create an application that enables the restaurant to provide customers
with a convenient and simple way to order from their menu. Through the app, customers
can browse a wide range of dishes, view detailed descriptions and prices, and easily create
their order. The app also allows for online payment, ensuring a seamless process for both
users and the restaurant.
The benefits of a delivery app extend beyond customer convenience and also result
in more efficient and successful restaurant operations. With the app, the restaurant can
easily manage orders, track the delivery process, and optimize resources. Additionally,
the app enables customer data management and the building of customer relationships,
which can lead to loyal customers and positive feedback in the long run.
In the following document, I will provide a detailed overview of the planning and
development of a restaurant delivery app.","","Restaurant industry, Online ordering, Food delivery, Restaurant delivery app, Customer convenience, ","2023"
"Torok Csongor","Algorythmics on the Chessboard","Abstract
Throughout history, only a very few things, apart from its minor improvements,
have remained almost unchanged from the early Middle Ages to our present times, still
representing the same board game for millions of people. It doesn’t have any hidden parts
or any elements of chance, everything stands in front of the two players from the very
beginning to until the checkmate.
In spite of all these, one of the biggest change brought to chess were the programs
and algorithms made by computer scientist from the past decades. These offered a deeper
insight into the world of chess, calculating the best steps from any given position, from an
unfathomable number of choices. As these programs evolved, the game received a whole
new dimension of depth, since we could analyze every single detail, the most optimal
strategy could be generated in mere seconds.
With my thesis, I would like to expand the ranks of these programs, looking to
solve chess problems and puzzles, which even thousands of years ago could have occupied
people.
My algorithms show step-by-step how they find solutions for the given cases, with
added explanations. My goal, in addition to chess’ complexity, is to clarify these algo-
rithms for anyone, with an interactive interface.
My chess algorithms look for solutions to these problems in several ways, in a given
example they choose the best steps by analyzing the current situation or they get a
solution by testing all the possible cases. By saving the running times, I tried to present
the chess problems in easily understandable and visually pleasing way with the help of
the most effective methods.
Last but not least, popularizing chess, arousing interest in it for others was another
goal of mine, since anyone can be an expert of the game of kings, similar programs can
help a lot in mastering it.","","Chess, Algorithms, Evolution, Solutions, Complexity, ","2023"
"Bakó László Mihály","Open doors with human-machine interface: a new approach to password-free secure access","Abstract
In this thesis, we have explored the possibility of using human-machine interfaces
as a new approach to password-free secure access and user authentication. In the pro-
posed approach, the active interface, which monitors some biometric process, serves as
a non-transferable authentication token based on a secure “dead man switch”. If the
connection is terminated, the system automatically revokes the privileges and logs the
user out. To avoid forgery and impersonation, the system uses a one-time key protected
communication protocol between the clients and the server managing access to resources.
In this research, we analyzed possible solutions based on the criteria of security,
convenience and cost-effectiveness, and implemented a system based on a comfortable
wearable visual cortex activity monitor and a low-cost heart rate monitoring system. The
completed systems were tested to assess their reliability and safety.
The results of the research show that the combination of non-transferable authenti-
cation tokens, biometrics and communication protocol offers a promising alternative to
password or simple token-based access control systems, as it improves security and allows
for more flexible security roles, such as temporary authorised security roles.","","Human machine interfaces, Authentication, Biometrics, Communication protocol, Security, ","2023"
"Derzsi Daniel","Contract Creation and Property Sales Through the Web","Abstract
In today’s fast-paced world, individuals and businesses engaged in real estate trans-
actions often encounter significant challenges when drafting property sale contracts. The
creation of these property sale contracts is an integral part of real estate transactions, in-
volving complex legalities and meticulous documentation. There is a pressing need for an
intuitive tool that can alleviate these complexities and facilitate the creation of accurate
and legally compliant contracts.
The aim of my thesis is two-fold. Firstly, I intend to create the basis of an online
platform to allow the automatic creation of contracts to facilitate secure property sales.
This includes the creation and planification of the necessary software architecture, the
creation of an easy to use administration interface, as well as the verbatim generation
and filling out of PDF documents using templates created by the administrators. Sec-
ondly, I intend to document the various stages (and possibilities) of the final deployment,
measured within real-world conditions.
The proposed website serves as a comprehensive platform, offering users a friendly
interface to generate legally binding contracts tailored to their specific requirements. By
eliminating the need for extensive legal knowledge or the assistance of costly attorneys,
the time and effort required to create a contract is greatly reduced.
Comparatively, governments worldwide have implemented similar software solu-
tions to address the challenges associated with property sale contracts. However, these
government-backed endeavours are often significantly handicapped by their perceived ob-
scurity and their convoluted design choices. This platform aims to provide users with a
unique and simplified experience that surpasses existing government initiatives.
In the beginning of the thesis we will discuss the various technologies employed to
create the proposed software solution. Afterwards, we will describe what the software
will do and how it will be expected to perform as part of a Software Requirements
Specification. A prospective user interface for the platform will be detailed following
the proposal of a potential software architecture and deployment layout. Finally, some
measurements will be presented to rationalize the decisions taken during the planning
stages of the software architecture.","Property contracts, Document templates, PDF document generation,Docker deployment, Serverless technologies.","Real estate transactions, Property sale contracts, Online platform, Software architecture, Legally compliant, ","2023"
"Csegzi Hunor","System to collect and elaborate data in superior education","Abstract
In my dissertation, I developed a system to collect and elaborate data in superior
education to ensure quality. I started to develop a web application, in which it is possible
to create statements, modify tables containing data, delete, overwrite data, and upload
them in Excel format. The software helps anyone who has access to it, enter data, and
organize transparent data sets from displayed tables.
Priortothedevelopment,Iconsideredseveralalternativesolutions,butinconclusion,
the technology I chose proved to be the most effective. This technology is the RDLC
report, which was initially unknown to me as well, thus I learned and discovered it both
during the development process of my dissertation and during the writing process. The
most important of the many advantages of this solution is the easy editing, which can be
dynamically edited and implemented in XML format, but last but not least it is easier
to implement with the system packages I have chosen.
The development of the system was guided by opinions who has to elaborate data
to create reports. The elaboration of data has been, and will continue to be necessary, so
I kept it important throughout my software development to keep the project sustainable
and functional in the long run with minimal development. I created the system with the
information obtained during the research and taking into account the needs and requests
of the target user, as the most important thing is that the user community accepts it and
is happy to use it. This solid, analytical platform also simplifies the day-to-day tasks of
teachers involved in education, but provides a simple, clean, usable interface during the
years.
With the simplicity and efficiency in mind, I have written my dissertation, the main
functionality of which is the elaboration of reports, embedded in a user interface that
meets the current design conditions, where the competent user can understand the soft-
ware and easily find the desired information to access this function. Thus, the system and
website I have designed and implemented provides a user-friendly environment for both
clients and the designer.","RDLC, elaboration, web","system development, web application, data organization, RDLC report, user-friendly interface.","2023"
"Molnar Krisztian","Visualizations of large collections of images","Abstract
Currently, we have access to large image collections both personally and in research.
Visualizing these collections can contribute to the discovery of latent patterns.
The topic of my thesis is the display and visualization of large image collections in
various layouts. The size of the image collections I used exceeds forty thousand images,
but the theoretical upper limit surpasses this by far.
I have developed an application that can display the images from the opened collec-
tion and arrange them based on extracted metadata, all within seconds.
My application is built on a client-server architecture. The server is written in the
Rust[rus23] programming language using the Axum framework. The client, running in the
browser, is built in TypeScript[typ23] and consists of two main parts. The desired layout
can be selected through a user interface created with the React[rea23] framework, and
this code is also responsible for the settings of the selected layout. The part responsible
for image display does not use a framework but follows a custom-designed architecture.
The WebGL[web23] library is used for rendering the images.
The application has gone through several development cycles. I will now present the
design decisions necessary for displaying image collections of this size and support them
with measurements.
Furthermore, I will showcase the layouts generated by the application for the collec-
tion I used.","images, display, collections, layouts, clustering","Large image collections, Visualization, Display, Layouts, Metadata, ","2023"
"Kolumban Attila","Rubik’s cube solver for phones","Abstract
The Rubik’s Cube is one of the worlds most iconic and most interesting puzzle
game. The first Rubik’s Cube was made in the year 1974 by Rubik Ernő, who was a
Hungarian architect, sculptor and game designer. Since its inception, it became popular
worldwide, it entertains millions of people every day. Solving the Rubik’s Cube demands
attention, patients and strategic thinking of its user, but thanks to improvements of
modern technology, the way of thinking needed to solve the cube is a lot easier to learn.
Thanks to the improvements of our smart devices and automated robots, solving
the Rubik’s Cube reached new levels. These days Rubik’s Cube solver application are
available on personal computers, and also on smart phones, making the learning of new
solving algorithms a lot easier. Usually an application like this show a 3D representation
of a Rubik’s Cube on the screen of the device, which can be rotated by the user using
fingers or a mouse. The applications then calculate an optimal solution, and shows it to
the user. The user can copy these steps on his own cube, this way he can devolop his own
skills. Usually its a plus, if the application is not only able to show an optimal solution,
but also can show given solving algorithms, this way helping the user understand the
cube more.
My software is able to read in a real cube, using the camera of a smart device, this
way speeding up the process of inputting the state of the cube into the application. After
the scanning of the cube is done, the user can ask for an optimal solution, of which he
can go through step by step, or if he feels like it, he can try to solve the cube himself.
Aside from this, i wanted to implement a feature, where the user can learn given solving
algorithms. For this reason exists a separate menu, where the user can choose a solving
algorithm, and can see its steps on the cube.
The application was made in Unity, using C#, and for finding an optimal solution
i used Kociemba’s two step solving algorithm. This algorithm is well liked for its speed
and low solution step count.","","Rubik's Cube, Solver application, Technology improvements, Smart devices, Solving algorithms, ","2023"
